User settings,Настройки инвестора
Email,Почта
"Phone, mobile (only digits)","Телефон, моб. (только цифры)"
Referrer code,Реферальный код
If available,Если есть
Optional,Не обязательно
Temporary unavailable,Временно недоступно
Eth address,Eth адрес
Eth withdrawn,Eth выведено
Eth bounty,Eth баунти
Verify bounty spending,Проверьте распределение баунти
Set minimal values,Установите минимальное значение
Minimal tokens for minting,Минимальное количество токенов для чеканки
Minimal tokens for bounty,Минимальное количество токенов для баунти
Set permissions values,Установить разрешенное значение
Receiving deposits is on,Получить депозит
Minting is on,Чеканить
Withdraw is on,Вывести
Reinvest is on,Реинвестировать
There are no transactions yet,Пока нет транзакций
Type,Тип
Date,Дата
Description,Описание
Amount,Количество
Send,Отправить
Transferred as donation,Переведено как пожертвование
Not used in minting,Не для чеканки
Used in minting,Для чеканки
Converted to,Конвертировано в
Order Id,Номер заказа
Cryptaur administrator login,Cryptaur логин администратора
Cryptaur admin settings,Cryptaur настройки администратора
Cryptaur administators list,Cryptaur список администраторов
Coins rates (deposits) count of usd in one coin,Цены на монеты (депозиты)<br>количество usd в одной монете
Stage,Этап
Total tokens issued,Всего выпущено токенов
Total tokens minted,Всего токенов отчеканено
Total funds raised,Общий объем привлеченных средств
Total participants,Всего участников
My tokens,Мои токены
Bounty,Баунти
Withdraw,Вывод
On withdraw,На вывод
Reinvest,Реинвестировать
On reinvest,На реинвестирование
Level,Уровень
Purchased,Купленные
Total coin contributed,Всего %%coin%% внесено
Contributed,Внесенные
Total in USD,Всего в USD
Withdrawn,Выведено
My group,Моя группа
Raised by group,Собранные группой
Participants,Участники
Invite friend,Пригласить друга
Invite friends,Пригласить друзей
After compression,После компрессии
Participants in level,Участников на уровне
January,Январь
February,Февраль
March,Март
April,Апрель
May,Май
June,Июнь
July,Июль
August,Август
September,Сентябрь
October,Октябрь
November,Ноябрь
December,Декабрь
Jan,Янв
Feb,Фев
Mar,Мар
Apr,Апр
May,Май
Jun,Июн
Jul,Июл
Aug,Авг
Sep,Сен
Oct,Окт
Nov,Ноя
Dec,Дек
Token sale,Продажа токенов
"TO SEE YOUR TOKENS IN YOUR OWN WALLET ENTER THE FOLLOWING VALUES","ДЛЯ ТОГО, ЧТОБЫ УВИДЕТЬ ВАШИ ТОКЕНЫ В СВОЁМ КОШЕЛЬКЕ, ИСПОЛЬЗУЙТЕ СЛЕДУЮЩИЕ ЗНАЧЕНИЯ"
Token Contract Address,Адрес смартконтракта
Token Symbol,Название токена
Decimal,Количество знаков
Logs,Логи
Alarm messages,Тревожные сообщения
Delete,Удалить
Friend email,Почта друга
wrong credentials,неверные учетные данные
wrong captcha,неверный код с картинки
wrong authentication code,неверный код авторизации
not a valid eth address,недействительный eth адрес
not a valid email,недействительная почта
email already in use,электронный адрес уже занят
cant mint tokens right now,невозможно отчеканить токены прямо сейчас
Part to reinvest,Часть для реинвестирования
Part to withdraw,Часть для вывода
Split bounty between reinvest and withdraw,Распределить баунти между реинвестицией/выводом
Drag slider to adjust values,Изменяйте значения с помощью ползунка
"Bounty was not withdrawn or reinvested. Maybe the service is overloaded. Try in a few minutes.","Баунти не было выведено и (или) реинвестировано. Возможно, сервис перегружен. Попробуйте через несколько минут."
Preferred two-factor authentication method,Предпочтительный метод двухфакторной авторизации
Do not use,Не использовать
Cryptaur Ether Wallet,Cryptaur Ether Wallet
To Address,Адрес получателя
Amount to Send,Сумма перевода
Amount,Сумма
Send Entire Balance,Перевести весь доступный баланс
Generate Transaction,Сформировать транзакцию
Account Address,Адрес (номер) счета
Account Balance,Баланс счёта
Transaction History,История транзакций
External wallet,Внешний кошелёк
Inner wallet,Внутренний кошелёк
Warning,Предупреждение
I control private key from the specified address,Я контролирую закрытый ключ от указанного адреса
The specified address is not the depository address of crypto exchange,Указанный адрес не является депозитным адресом криптовалютной биржи
"The specified address corresponds to a wallet that supports ERC20 token standard, for example, MyEtherWallet","Указанный адрес соответствует кошельку, поддерживающему стандарт токенов ERC20, например, MyEtherWallet"
Choose type wallet,Выберите тип кошелька
Hello,Здравствуйте
I understand,Я понял
ATTENTION,ВНИМАНИЕ
"In order to protect the Cryptaur users and elevate the CPT and ether...","Для защиты пользователей Cryptaur и в целях повышения безопасности хранения токенов CPT и эфира мы ввели в действие внутренний депозитарий Cryptaur. Все Ваши токены CPT теперь размещены во внутреннем депозитарии и надёжно защищены. Вы можете увидеть все приобретённые Вами токены CPT и начисленные Вам баунти в Личном Кабинете и свободно распоряжаться ими."
"Nevertheless, should you prefer to store your CPT tokens...","Если, тем не менее, Вы предпочтёте хранить токены CPT и эфир на каком-либо собственном стороннем (внешнем) кошельке вместо внутреннего депозитария Cryptaur, то просто перейдите в пункт меню CRYPTAUR ETHER WALLET, укажите адрес своего внешнего кошелька, количество отправляемых на этот адрес токенов или эфиров и нажмите кнопку ОТПРАВИТЬ. С этого момента те токены и эфир, которые Вы отправите на внешний кошелёк, не будут более защищены внутренним депозитарием Cryptaur, и Вы будете ответственны за их сохранность и безопасность."
"PLEASE BE EXTREMELY CAREFUL AND ALWAYS REMEMBER ABOUT CYBER-SECURITY!","УБЕДИТЕЛЬНО ПРОСИМ ВАС БЫТЬ МАКСИМАЛЬНО ВНИМАТЕЛЬНЫМИ И ПОМНИТЬ О КИБЕР-БЕЗОПАСНОСТИ!"
"YES, I UNDERSTAND AND AGREE","ДА, Я ПОНЯЛ И СОГЛАСЕН"
Tokens minting is in queue,Чеканка токенов находится в очереди на обработку
Ether withdraw is in queue,Вывод эфира находится в очереди на обработку
Ether reinvesting is in queue,Реинвестирование эфира находится в очереди на обработку
"Please wait for completion of registration your own Cryptaur Ether Wallet","Пожалуйста, дождитесь окончания регистрации вашего собственного Cryptaur Ether Wallet"
The page will automatically reboot after 30 seconds,Страница автоматически перезагрузится через 30 секунд
Cryptaur Ether Waller send functions temporary is off,Функции отправки с Cryptaur Ether Waller временно отключены
"I confirm that the specified destination address matches the wallet that supports the ERC20 standard","Я подтверждаю, что указанный адрес назначения соответствует кошельку, поддерживающему стандарт ERC20"
"I confirm that the indicated address is not the depository address of the exchange","Я подтверждаю, что указанный адрес не является депозитным адресом биржи"
Transaction fee,Комиссия за транзакцию
maximum amount,максимальная сумма
Pending transaction,Ожидание выполнения транзакции
The minimal contibution in CPT tokens to the PROVER project is 5000 CPT,Минимальная сумма инвестирования токенов CPT в проект PROVER составляет 5000 CPT
This is an estimate based on the current exchange rate. Your final amount of CPTs will be calculated at the time you actually send your contribution.,Это оценочное значение основано на текущем курсе. Окончательное количество CPT будет рассчитано в момент фактической отправки вклада.
Enter security code,Введите защитный код
"Too much requests from your IP, you must input captcha","Слишком много запросов с вашего IP, требуется ввести капчу"
Coin Rates,Курсы валют
CPL Rates,Курсы CPL
"I agree to the terms and conditions","Я согласен с <a target='_blank' href='https://cryptaur.com/terms-and-conditions/'>условиями и правилами</a>"
